2025-03-27 07:06:50.128 [http-nio-8074-exec-736] [LZ565760432] [OPEN_API_T3WMtKes8KvvdqUy] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 入参:[/ph/cimb/partner/v1/cust/inquiry],{"body":{"birth_date":"20001111","cell_phone_no":"9757177523","cust_first_name":"jhjes","cust_last_name":"CDLC","cust_middle_name":"CLD","e_mail":"88614859@163.com","mobile_country_code":"63","publicuserid":"1107004000611956574"},"branchId":"2086","company":"CIMBPH","header":{"chnldt":"20230420","chnlsq":"LZ565760432","chnltm":"011442"},"seqNo":"LZ565760432","sourceType":"LZD","systemId":"10","tranDate":"20230420","tranTimestamp":"20230420011442","userId":"LZD1","userLang":"en_US","version":"1.0"}
2025-03-27 11:06:50.134 [http-nio-8074-exec-1667] [LZ8530796009] [OPEN_API_Jmp7bgzgNe1kwnLS] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.134 [http-nio-8074-exec-1619] [LZ1301801927] [OPEN_API_vsNcRnnmer2CcPC1] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.134 [http-nio-8074-exec-1599] [LZ2234315907] [OPEN_API_iRmXkEklU9RZKgEY] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.134 [http-nio-8074-exec-1577] [LZ1243254670] [OPEN_API_Pgmvax3TrL0shomC] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：79ms
2025-03-27 11:06:50.134 [http-nio-8074-exec-1577] [LZ1243254670] [OPEN_API_Pgmvax3TrL0shomC] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.134 [http-nio-8074-exec-1577] [LZ1243254670] [OPEN_API_Pgmvax3TrL0shomC] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1619] [LZ1301801927] [OPEN_API_vsNcRnnmer2CcPC1] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：92ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1554] [LZ5080855363] [OPEN_API_7KPtwDlnOHZkrchg] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1619] [LZ1301801927] [OPEN_API_vsNcRnnmer2CcPC1] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1619] [LZ1301801927] [OPEN_API_vsNcRnnmer2CcPC1] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1632] [LZ4283231145] [OPEN_API_VxxrjuBkSFg4UaRP] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1679] [LZ7655179994] [OPEN_API_cUd2moPDFHogwNVR] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1637] [LZ8070880866] [OPEN_API_ZbmgdKi0zdLpEC4A] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1667] [LZ8530796009] [OPEN_API_Jmp7bgzgNe1kwnLS] INFO  [com.ocft.lazada.business.utils.RedisTools] - key:000000; languageObj:{"chinese":"成功","code":"000000","createdBy":"zhoufan","createdDate":1705459428000,"english":"sucess","type":"1","updatedBy":""}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1667] [LZ8530796009] [OPEN_API_Jmp7bgzgNe1kwnLS] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 出参:[/ph/cimb/partner/v1/acct/transhistory][耗时：195ms]{"body":{"txn_details":[]},"branchId":"2086","code":"000000","header":{"chnldt":"20250327","chnlsq":"LZ8530796009","chnltm":"110650","code":"000000","message":"sucess"},"msg":"sucess","pubPage":{},"reference":"LZ8530796009"} tranDate 20250327
2025-03-27 11:06:50.136 [http-nio-8074-exec-1685] [LZ6528170640] [OPEN_API_0kbbMMtP23ZOiBtf] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：82ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1685] [LZ6528170640] [OPEN_API_0kbbMMtP23ZOiBtf] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1660] [LZ5847884082] [OPEN_API_wAIZf6GHvzqvGMPT] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：90ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1685] [LZ6528170640] [OPEN_API_0kbbMMtP23ZOiBtf] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1660] [LZ5847884082] [OPEN_API_wAIZf6GHvzqvGMPT] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1660] [LZ5847884082] [OPEN_API_wAIZf6GHvzqvGMPT] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1682] [LZ3730417488] [OPEN_API_MOYp9iIeLabzDG04] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1517] [LZ4613583706] [OPEN_API_4YuBZlYVjJGCJVPO] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1671] [LZ9641661151] [OPEN_API_w67gAXa9TYYLnNOx] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1669] [LZ4952329065] [OPEN_API_MR2SMbtRZJ1d4ZkV] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1592] [LZ9106553036] [OPEN_API_DcovxnVH6xxVx6mJ] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1628] [LZ5409648721] [OPEN_API_aT5DBeC2pxO2XRTa] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1629] [LZ8798688815] [OPEN_API_fnsiYHEdIZa3mxDx] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：83ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1629] [LZ8798688815] [OPEN_API_fnsiYHEdIZa3mxDx] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1629] [LZ8798688815] [OPEN_API_fnsiYHEdIZa3mxDx] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1576] [LZ7062399971] [OPEN_API_JCguwMxIWeb6DQFK] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1598] [LZ7257110276] [OPEN_API_BUFJ4WUtqE4jX51F] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1645] [LZ5629168653] [OPEN_API_OPy0aHkg26rRgy5I] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1615] [LZ3754223719] [OPEN_API_DhTeVs0UXqnCR4wX] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1634] [LZ8554877486] [OPEN_API_XjAYapEuPM7IrtJN] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：84ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1634] [LZ8554877486] [OPEN_API_XjAYapEuPM7IrtJN] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1561] [LZ5667844760] [OPEN_API_4AEK52XFf9jI8EX4] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：96ms
2025-03-27 11:06:50.136 [http-nio-8074-exec-1634] [LZ8554877486] [OPEN_API_XjAYapEuPM7IrtJN] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1561] [LZ5667844760] [OPEN_API_4AEK52XFf9jI8EX4] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ++++++++++[/acct/transhistory]-->[transactionHistoryQuery]++++++++++出参查询-->{"retCode":"910000","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1561] [LZ5667844760] [OPEN_API_4AEK52XFf9jI8EX4] INFO  [c.o.l.b.s.t.impl.AcctTransHistoryQueryServiceImpl] - ***************开始解析[账户交易查询]start...
2025-03-27 11:06:50.136 [http-nio-8074-exec-1600] [LZ9336432358] [OPEN_API_jI17nigIYsbGEDOL] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1646] [LZ9131735046] [OPEN_API_I10yXka3TIUvWrWl] INFO  [com.ocft.lazada.business.utils.RedisTools] - key:000000; languageObj:{"chinese":"成功","code":"000000","createdBy":"zhoufan","createdDate":1705459428000,"english":"sucess","type":"1","updatedBy":""}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1678] [LZ6979129671] [OPEN_API_ghVtCThVzJopYOdX] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1646] [LZ9131735046] [OPEN_API_I10yXka3TIUvWrWl] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 出参:[/ph/cimb/partner/v1/acct/transhistory][耗时：197ms]{"body":{"txn_details":[]},"branchId":"2086","code":"000000","header":{"chnldt":"20250327","chnlsq":"LZ9131735046","chnltm":"110650","code":"000000","message":"sucess"},"msg":"sucess","pubPage":{},"reference":"LZ9131735046"} tranDate 20250327
2025-03-27 11:06:50.136 [http-nio-8074-exec-1588] [LZ7375272969] [OPEN_API_KzrqZuRGxFQYn1ym] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1621] [LZ7783152798] [OPEN_API_KXgNSoctRn3e7Goz] INFO  [com.ocft.lazada.business.utils.RedisTools] - key:000000; languageObj:{"chinese":"成功","code":"000000","createdBy":"zhoufan","createdDate":1705459428000,"english":"sucess","type":"1","updatedBy":""}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1614] [LZ1788206170] [OPEN_API_EzGtNOlkaUy7L4Wu] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1621] [LZ7783152798] [OPEN_API_KXgNSoctRn3e7Goz] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 出参:[/ph/cimb/partner/v1/acct/transhistory][耗时：98ms]{"body":{"txn_details":[]},"branchId":"2086","code":"000000","header":{"chnldt":"20250327","chnlsq":"LZ7783152798","chnltm":"110650","code":"000000","message":"sucess"},"msg":"sucess","pubPage":{},"reference":"LZ7783152798"} tranDate 20250327
2025-03-27 11:06:50.136 [http-nio-8074-exec-1660] [LZ5847884082] [OPEN_API_wAIZf6GHvzqvGMPT] INFO  [com.ocft.lazada.business.utils.RedisTools] - key:000000; languageObj:{"chinese":"成功","code":"000000","createdBy":"zhoufan","createdDate":1705459428000,"english":"sucess","type":"1","updatedBy":""}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1660] [LZ5847884082] [OPEN_API_wAIZf6GHvzqvGMPT] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 出参:[/ph/cimb/partner/v1/acct/transhistory][耗时：196ms]{"body":{"txn_details":[]},"branchId":"2086","code":"000000","header":{"chnldt":"20250327","chnlsq":"LZ5847884082","chnltm":"110650","code":"000000","message":"sucess"},"msg":"sucess","pubPage":{},"reference":"LZ5847884082"} tranDate 20250327
2025-03-27 11:06:50.136 [http-nio-8074-exec-1606] [LZ1239122652] [OPEN_API_odPDnBONJPvRnPHp] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1599] [LZ2234315907] [OPEN_API_iRmXkEklU9RZKgEY] INFO  [com.ocft.lazada.business.utils.RedisTools] - key:000000; languageObj:{"chinese":"成功","code":"000000","createdBy":"zhoufan","createdDate":1705459428000,"english":"sucess","type":"1","updatedBy":""}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1599] [LZ2234315907] [OPEN_API_iRmXkEklU9RZKgEY] WARN  [com.ocft.lazada.service.aop.ControllerStandardAop] - 出参:[/ph/cimb/partner/v1/acct/transhistory][耗时：195ms]{"body":{"txn_details":[]},"branchId":"2086","code":"000000","header":{"chnldt":"20250327","chnlsq":"LZ2234315907","chnltm":"110650","code":"000000","message":"sucess"},"msg":"sucess","pubPage":{},"reference":"LZ2234315907"} tranDate 20250327
2025-03-27 11:06:50.136 [http-nio-8074-exec-1609] [LZ8330605459] [OPEN_API_Q3W8qTUxFcZcqiGw] INFO  [com.ocft.lazada.business.utils.MCUtil] - 解析apsi返回的提示信息,responseMessage={"retCode":"noData","retMsg":"[{\"RET_CODE\":\"RB4027\",\"RET_MSG\":\"RB4027 No transaction flow that meets the query criteria!\"}]"}
2025-03-27 11:06:50.136 [http-nio-8074-exec-1625] [LZ1310342524] [OPEN_API_iXa57SgezLeBv0M9] WARN  [com.ocft.lazada.service.aop.FeignClientAop] - Invoke remote service finish,serviceName:apsiService,api:/apsi/account/lazada/transactionHistoryQuery,costTime：84ms
